"GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
6.14,6.47,6.07,6.31,4453600,6.31
6.21,6.25,5.84,5.88,3543900,5.88
5.8,5.91,5.6,5.85,3394800,5.85
5.77,5.83,5.44,5.52,5228000,5.52
5.49,5.85,5.41,5.72,5629400,5.72
5.82,5.82,5.48,5.55,2643000,5.55
5.56,5.6,5.38,5.43,2781400,5.43
5.43,5.61,5.33,5.43,3625200,5.43
4.78,5,4.53,4.71,12561900,4.71
4.66,4.73,4.55,4.61,4981100,4.61
4.61,4.71,4.52,4.62,4287100,4.62
4.58,4.75,4.51,4.75,4019500,4.75
4.75,4.75,4.55,4.59,3532100,4.59
4.55,4.64,4.46,4.56,2627500,4.56
4.55,4.64,4.46,4.62,1880200,4.62
4.64,4.64,4.25,4.32,4163600,4.32
4.2,4.35,4.16,4.28,2122500,4.28
4.3,4.3,4.18,4.21,2144900,4.21
4.22,4.32,4.13,4.13,1552600,4.13
4.1,4.12,3.88,3.93,3006500,3.93
3.91,3.94,3.83,3.84,2891700,3.84
3.88,3.98,3.85,3.95,2026200,3.95
4.03,4.25,3.97,4.07,3563100,4.07
4.15,4.41,4.14,4.18,2641700,4.18
4.2,4.3,4.14,4.14,1510300,4.14
4.11,4.13,3.77,3.81,2742300,3.81
3.85,4.1,3.74,3.94,2777000,3.94
3.98,4.24,3.95,4.02,3415000,4.02
4.13,4.51,4.07,4.19,4820600,4.19
4.12,4.26,4.07,4.11,2081700,4.11
4.11,4.19,4.02,4.02,1582700,4.02
4.01,4.08,3.96,4.06,1467600,4.06
4.06,4.27,3.92,4.15,2593100,4.15
4.16,4.3,4.11,4.14,1562300,4.14
4.12,4.18,3.99,4.04,1695700,4.04
3.9,3.93,3.7,3.7,3566300,3.7
3.77,3.79,3.55,3.56,4447900,3.56
3.58,3.62,3.36,3.39,4724800,3.39
3.23,3.63,3.18,3.47,3879500,3.47
3.34,3.72,3.34,3.6,4692200,3.6
3.6,3.85,3.39,3.83,3208400,3.83
3.88,3.89,3.5,3.63,4282500,3.63
3.71,3.83,3.46,3.77,4257600,3.77
3.7,3.99,3.59,3.96,3599400,3.96
3.84,4.07,3.76,3.92,2096800,3.92
3.59,3.97,3.5,3.7,2732000,3.7
3.94,4.26,3.8,4.23,4863200,4.23
4.14,4.25,4,4.14,4414100,4.14
3.7,4.04,3.48,3.98,5123400,3.98
4.13,4.65,3.85,4.59,5787200,4.59
3.93,4.57,3.9,4.37,4866700,4.37
4.4,4.65,4.11,4.23,3562200,4.23
4.1,4.25,3.5,3.77,3651700,3.77
3.71,4.2,3.55,4.19,5039500,4.19
4.08,4.08,3.65,3.76,7722200,3.76
3.58,3.86,3.5,3.81,6009800,3.81
3.95,4.21,3.89,4.16,6805600,4.16
4.15,4.49,4.04,4.17,3592100,4.17
4.24,4.71,4.24,4.41,6185700,4.41
4.94,5.09,4.15,4.22,7024800,4.22
4.22,4.27,3.65,3.65,3350600,3.65
3.63,3.8,3.5,3.5,2300900,3.5
3.45,3.49,3.12,3.25,4568700,3.25
3.26,3.35,2.85,2.85,4064300,2.85
2.85,2.94,2.57,2.8,3830400,2.8
2.86,3.2,2.83,3.09,3340500,3.09
3.39,3.44,3.1,3.27,2836900,3.27
3.23,3.67,3.2,3.41,2884500,3.41
3.6,4.25,3.49,3.89,5908600,3.89
4.25,4.76,4.16,4.74,6844500,4.74
5.21,6.47,5.14,5.95,13506600,5.95
5.66,5.67,4.9,5.27,7499900,5.27
5.12,5.44,4.88,5.03,3371900,5.03
5.22,5.28,4.43,4.88,5653200,4.88
4.85,5.9,4.78,5.61,6085000,5.61
5.23,5.3,4.76,4.78,4142100,4.78
5.14,5.17,4.83,4.89,2677800,4.89
4.75,4.89,4.58,4.7,2265900,4.7
4.78,4.85,4.66,4.77,2236200,4.77
4.85,5.99,4.81,5.82,7275100,5.82
5.92,6.04,5.06,5.64,5200200,5.64
5.83,6.09,5.45,6.04,3369600,6.04
5.87,5.98,5.64,5.73,2173300,5.73
5.65,6.18,5.45,6.05,4005600,6.05
5.84,5.93,5.4,5.48,4068100,5.48
5.55,5.63,5.35,5.39,2105900,5.39
5.4,5.4,4.9,4.93,3369600,4.93
