id,price,desc,numstories,yearbuilt,exteriorfinish,rooftype,basement,totalrooms,bedrooms,bathrooms,fireplaces,sqft,lotarea,state,zipcode,AvgIncome
PA10474,141120.0138,SINGLE FAMILY,1,1952,Brick,SHINGLE,1,7,3,1.5,1,1443,11010,PA,15025,60669
PA10677,133554.9765,SINGLE FAMILY,1,1951,Brick,SHINGLE,1,5,3,1.5,2,1285,165964,PA,15003,37868
VA10005,736087.0608,SINGLE FAMILY,1,1959,Brick,SLATE,1,9,4,3.5,NA,2607,34848,VA,23226,50519
VA10067,114542.1526,SINGLE FAMILY,1.5,1945,Brick,SHINGLE,0,6,3,1,NA,1321,7517.25,VA,23224,27132
VA10939,152769.2236,SINGLE FAMILY,1,1954,Brick,SHINGLE,0,6,2,1,NA,1200,6098.4,VA,23231,43600
PA10632,79772.88108,SINGLE FAMILY,1,1957,Brick,SHINGLE,1,6,2,1.5,0,1328,6428,PA,15030,50313
VA10690,187235.8525,SINGLE FAMILY,1,1954,Brick,SHINGLE,0,8,3,2.5,NA,2246,16250,VA,23222,29570
VA10717,294647.4941,SINGLE FAMILY,2,1927,Brick,SLATE,0,9,4,1,NA,2028,5280,VA,23227,36568
VA10063,372883.0041,SINGLE FAMILY,1.5,1950,Frame,SLATE,0,9,4,2,NA,2031,10196,VA,23226,50519
PA10814,132132.7339,SINGLE FAMILY,1,1952,Brick,SHINGLE,1,7,3,1.5,0,1248,7200,PA,15243,60717
PA10233,155224.2466,SINGLE FAMILY,1,1961,Brick,SHINGLE,1,6,3,2.5,1,1671,32286,PA,15037,55863
PA10833,1132764.941,SINGLE FAMILY,2,1990,Brick,SHINGLE,1,12,6,4,2,7790,93044,PA,15238,67370
PA10034,135424.4842,SINGLE FAMILY,1,1956,Brick,SHINGLE,1,7,3,2,0,1063,32096,PA,15236,46913
PA10954,111775.5159,SINGLE FAMILY,2,1964,Brick,SHINGLE,1,6,3,1.5,0,1260,8400,PA,15235,41367
PA10526,255906.3713,SINGLE FAMILY,2,1960,Brick,SHINGLE,1,8,4,3,1,2015,7150,PA,15243,60717
PA10106,216801.5221,SINGLE FAMILY,2,1950,Brick,SHINGLE,1,7,3,1.5,1,1704,8653,PA,15243,60717
VA10680,277131.3001,SINGLE FAMILY,1,1910,Frame,METAL,0,6,3,2.5,NA,1690,1980,VA,23223,27936
PA10079,99129.59872,ROWHOUSE,2,1900,Brick,SHINGLE,1,6,3,1,0,1145,966,PA,15213,18473
VA10008,451783.882,SINGLE FAMILY,2,1953,Brick,SLATE,0,9,4,2.5,NA,2318,15930,VA,23227,36568
PA10723,399639.1428,SINGLE FAMILY,2,2000,Brick,SHINGLE,1,8,4,2.5,1,3864,14026,PA,15025,60669
PA10072,280623.2518,SINGLE FAMILY,1,1965,Brick,SHINGLE,1,7,3,2.5,1,2344,24966,PA,15237,55016
PA10685,176628.471,SINGLE FAMILY,1,1960,Brick,SHINGLE,1,7,3,2.5,1,2133,10743,PA,15025,60669
PA10253,174625.8366,CONDOMINIUM,2,1993,Frame,SHINGLE,1,7,3,1.5,0,1806,1536,PA,15212,26712
VA10172,192522.2413,SINGLE FAMILY,1,1958,Brick,SHINGLE,0,5,3,1,NA,1107,11375,VA,23227,36568
VA10312,342627.0928,SINGLE FAMILY,1.5,1937,Brick,SLATE,0,7,4,2,NA,1852,8112.5,VA,23227,36568
PA10953,477554.5345,SINGLE FAMILY,2,1978,Frame,SHINGLE,1,11,5,3.5,2,3252,28592,PA,15237,55016
VA10556,252351.2562,SINGLE FAMILY,1.5,1940,Frame,SLATE,0,6,3,2,NA,941,6504,VA,23227,36568
PA10773,319754.9848,SINGLE FAMILY,2,1994,Brick,SHINGLE,1,8,4,3.5,1,2352,13262,PA,15025,60669
VA10205,382927.6588,SINGLE FAMILY,2,1927,Brick,SLATE,1,8,4,2.5,NA,1874,8843,VA,23225,35101
VA10760,293382.753,SINGLE FAMILY,2,1924,Stucco,SLATE,0,9,4,2.5,NA,1674,5280,VA,23227,36568
VA10810,281537.9568,SINGLE FAMILY,2,1926,Brick,METAL,0,6,2,1,NA,1226,1307.96,VA,23221,39943
VA10997,2505883.18,SINGLE FAMILY,1.5,2001,Brick,SLATE,0,10,5,6,NA,6145,291416.4,VA,23226,50519
PA10330,358208.7395,SINGLE FAMILY,1,1940,Stone,SLATE,1,7,3,3,1,1496,30099,PA,15243,60717
PA10366,48322.67232,SINGLE FAMILY,1,1951,Frame,SHINGLE,1,7,3,2,0,1366,2150,PA,15238,67370
PA10562,65350.9538,ROWHOUSE,2,1900,Brick,SHINGLE,1,5,3,1,0,1228,7427,PA,15213,18473
VA10186,207933.0958,SINGLE FAMILY,2,1900,Frame,METAL,0,5,2,1.5,NA,1251,1307.9,VA,23223,27936
VA10461,233502.5206,SINGLE FAMILY,2,1937,Brick,SLATE,0,11,3,1,NA,2258,8995,VA,23222,29570
VA10480,179632.3626,CONDOMINIUM,1,1919,Brick,METAL,0,3,1,1,NA,650,0,VA,23220,26557
VA10813,681225.6946,SINGLE FAMILY,2.5,1920,Brick,SLATE,0,23,5,3.5,NA,3520,23342,VA,23227,36568
PA10915,125480.0178,SINGLE FAMILY,1,1960,Brick,SHINGLE,1,7,3,1.5,0,1347,8013,PA,15236,46913
PA10276,109718.9161,SINGLE FAMILY,1.5,1949,Frame,SHINGLE,1,5,2,1,1,1333,26316,PA,15025,60669
PA10262,167740.7077,SINGLE FAMILY,1,1955,Brick,SHINGLE,1,6,3,2.5,0,1796,13609,PA,15037,55863
VA10320,303438.7317,SINGLE FAMILY,2,1936,Brick,SLATE,0,8,3,1.5,NA,1344,8800,VA,23227,36568
VA10714,106920.0229,SINGLE FAMILY,2,1928,Stucco,METAL,0,8,3,1,NA,1218,3721.57,VA,23222,29570
PA10202,325952.2451,SINGLE FAMILY,1,1962,Brick,SLATE,1,7,4,4,0,2817,29391,PA,15235,41367
VA10273,361422.4094,SINGLE FAMILY,2.5,1924,Brick,METAL,0,8,4,1,NA,1710,2384.5,VA,23221,39943
VA10554,897047.06,SINGLE FAMILY,2.5,1950,Brick,SLATE,1,11,5,4.5,NA,3895,296947,VA,23235,56989
PA10898,961111.2193,SINGLE FAMILY,2,1931,Brick,SLATE,1,10,4,3.5,1,4531,22073,PA,15228,58440
VA10174,1171795.712,SINGLE FAMILY,2,1923,Stone,SLATE,0,10,4,3.5,NA,4276,14647,VA,23226,50519
PA10582,134013.7266,SINGLE FAMILY,2,1993,Frame,SHINGLE,1,6,3,1,1,2359,9749,PA,15044,95289
VA10903,325807.7305,SINGLE FAMILY,2,1928,Brick,METAL,1,8,3,1,NA,1320,3954.5,VA,23221,39943
PA10836,41277.30005,SINGLE FAMILY,1,1945,Frame,SHINGLE,1,3,1,1,0,744,4280,PA,15014,42500
PA10890,335237.8654,SINGLE FAMILY,2.5,1910,Brick,SHINGLE,1,9,4,2,0,4374,10500,PA,15224,22880
PA10753,314544.6055,SINGLE FAMILY,2,1955,Brick,SLATE,1,6,4,3.5,1,1836,13267,PA,15243,60717
PA10987,39319.07317,ROWHOUSE,2,1887,Frame,SHINGLE,1,5,3,1,0,1122,1434,PA,15212,26712
PA10026,307007.5254,CONDOMINIUM,1.5,1990,Brick,SHINGLE,1,6,3,3,1,3176,9017,PA,15238,67370
VA10391,535437.0841,SINGLE FAMILY,2,1910,Brick,METAL,0,8,4,2,NA,2720,5313.48,VA,23220,26557
PA10786,165925.5716,SINGLE FAMILY,2,1973,Frame,SHINGLE,1,7,3,1.5,1,1972,10663,PA,15025,60669
VA10637,439912.9728,SINGLE FAMILY,2,1853,Frame,METAL,0,10,4,3,NA,4117,20537,VA,23231,43600
VA10507,133478.6038,SINGLE FAMILY,2,1925,Brick,SHINGLE,0,6,3,1,NA,1518,13965,VA,23222,29570
VA10943,356120.8791,SINGLE FAMILY,2,1923,Brick,METAL,0,8,3,1.5,NA,1328,1580,VA,23221,39943
PA10886,222437.1178,SINGLE FAMILY,1,1950,Frame,SHINGLE,1,6,3,1,0,1296,106722,PA,15026,69387
VA10124,165201.2592,SINGLE FAMILY,1.5,1890,Frame,METAL,0,6,4,2,NA,1303,42688.8,VA,23224,27132
VA10624,185105.628,SINGLE FAMILY,2,1925,Stucco,METAL,0,9,4,2.5,NA,1737,4200,VA,23222,29570
PA10245,297463.9935,SINGLE FAMILY,2.5,1915,Frame,SHINGLE,1,9,5,3,2,2594,11685,PA,15213,18473
VA10840,160954.9672,SINGLE FAMILY,2,1929,Stucco,SLATE,0,8,4,1,NA,1550,4666.2,VA,23222,29570
VA10588,319952.1192,SINGLE FAMILY,1.5,1935,Brick,SLATE,1,8,3,2,NA,1330,9842.32,VA,23227,36568
VA10247,196777.7851,CONDOMINIUM,1,1976,Brick,SHINGLE,0,4,1,1,NA,1206,1219,VA,23223,27936
PA10831,55760.90617,SINGLE FAMILY,1,1946,Frame,SHINGLE,0,7,3,1,0,1136,5758,PA,15225,30625
PA10966,225290.1794,CONDOMINIUM,1,1920,Brick,ROLL,0,3,2,2,1,1609,0,PA,15215,43750
VA10705,115592.1648,SINGLE FAMILY,1.5,1950,Brick,SHINGLE,0,7,4,1,NA,1296,7500,VA,23224,27132
VA10078,522050.9007,SINGLE FAMILY,2,1924,Brick,SLATE,1,7,3,3,NA,2738,8752,VA,23230,36083
PA10668,481833.2721,SINGLE FAMILY,2,2002,Brick,SHINGLE,1,9,4,3.5,0,3155,55757,PA,15237,55016
VA10271,313738.3539,SINGLE FAMILY,2,1915,Brick,SLATE,0,8,3,2,NA,2108,6882,VA,23225,35101
